trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.999}",20,0,-94.43851313937714,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.998001}",30,0,-130.93729249774833,"{0: 18, 1: 7, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.997002999}",20,0,-130.19945857672516,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.2, 'e': 0.996005996001}",20,0,-89.32595418994485,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.995009990004999}",25,0,-96.53450215390714,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.2, 'e': 0.994014980014994}",20,0,-217.77203911869762,"{0: 9, 1: 0, 2: 5, 3: 3, 4: 3}",0
7,False,"{'a': 0.2, 'e': 0.993020965034979}",25,0,-168.89204305955766,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.2, 'e': 0.992027944069944}",25,0,-50.716561715590615,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.2, 'e': 0.991035916125874}",20,0,-62.54008479130532,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.9900448802097482}",25,0,-79.39644387219742,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
11,False,"{'a': 0.2, 'e': 0.9890548353295384}",20,0,-66.76748120548098,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
12,False,"{'a': 0.2, 'e': 0.9880657804942089}",20,0,-71.9746604410796,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.9870777147137147}",25,0,-234.3171393078986,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
14,False,"{'a': 0.2, 'e': 0.986090636999001}",25,0,-140.81853691122873,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.2, 'e': 0.985104546362002}",25,0,-195.79318369993703,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
16,False,"{'a': 0.2, 'e': 0.9841194418156399}",20,0,-19.1215379391875,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.2, 'e': 0.9831353223738244}",20,0,-116.57450379929111,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.2, 'e': 0.9821521870514505}",25,1,-74.63583959404376,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 0}",1
19,False,"{'a': 0.2, 'e': 0.981170034864399}",25,0,-274.0036113732068,"{0: 6, 1: 9, 2: 5, 3: 1, 4: 4}",0
20,False,"{'a': 0.2, 'e': 0.9801888648295347}",20,0,-116.66029694235232,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
