trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
547,False,"{'a': 0.75, 'e': 0.5785249048906184}",20,0,-14.098051281911573,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
548,False,"{'a': 0.75, 'e': 0.5779463799857277}",35,0,-135.13146640554092,"{0: 28, 1: 0, 2: 3, 3: 1, 4: 3}",0
549,False,"{'a': 0.75, 'e': 0.577368433605742}",20,5,5.571292230458903,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
550,False,"{'a': 0.75, 'e': 0.5767910651721362}",20,2,-14.329184322043005,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
551,False,"{'a': 0.75, 'e': 0.5762142741069641}",30,8,22.5514350170356,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
552,False,"{'a': 0.75, 'e': 0.5756380598328571}",20,2,-65.26979661129639,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
553,False,"{'a': 0.75, 'e': 0.5750624217730242}",30,0,-4.333754651467836,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
554,False,"{'a': 0.75, 'e': 0.5744873593512513}",25,1,-80.89606478287506,"{0: 19, 1: 0, 2: 1, 3: 3, 4: 1}",1
555,False,"{'a': 0.75, 'e': 0.5739128719919}",25,0,-172.04170348876696,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
556,False,"{'a': 0.75, 'e': 0.5733389591199081}",30,0,-62.67328021819105,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
557,False,"{'a': 0.75, 'e': 0.5727656201607881}",20,11,-4.054056619316436,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
558,False,"{'a': 0.75, 'e': 0.5721928545406274}",25,0,-99.5623639785085,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
559,False,"{'a': 0.75, 'e': 0.5716206616860868}",30,10,-33.09881522768351,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
560,False,"{'a': 0.75, 'e': 0.5710490410244007}",30,18,13.59853275478027,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
561,False,"{'a': 0.75, 'e': 0.5704779919833762}",20,0,-95.98947877015856,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
562,False,"{'a': 0.75, 'e': 0.5699075139913929}",25,9,-6.69013000474548,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
563,False,"{'a': 0.75, 'e': 0.5693376064774015}",20,0,-44.271989374351186,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
