trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.999}",30,0,-92.67409892629476,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.998001}",35,0,-308.21085977185066,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 5}",0
3,False,"{'a': 0.4, 'e': 0.997002999}",20,0,-160.81292577840796,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.4, 'e': 0.996005996001}",25,0,-250.76252629882904,"{0: 10, 1: 3, 2: 7, 3: 1, 4: 4}",0
5,False,"{'a': 0.4, 'e': 0.995009990004999}",20,0,-89.2088134362725,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.4, 'e': 0.994014980014994}",30,0,-88.62346163893402,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.993020965034979}",30,0,-110.90942210671476,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.992027944069944}",30,0,-178.50373793111817,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.4, 'e': 0.991035916125874}",20,0,-96.7935545543627,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.4, 'e': 0.9900448802097482}",30,0,-156.01873750159103,"{0: 15, 1: 3, 2: 10, 3: 1, 4: 1}",0
11,False,"{'a': 0.4, 'e': 0.9890548353295384}",20,0,-34.738415582299744,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.4, 'e': 0.9880657804942089}",20,0,-184.78178135435462,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.4, 'e': 0.9870777147137147}",25,0,-92.81932781101757,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.4, 'e': 0.986090636999001}",25,0,-73.57560385223977,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.985104546362002}",25,0,-173.7049849858271,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
16,False,"{'a': 0.4, 'e': 0.9841194418156399}",20,0,-148.919387901677,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
