trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.999}",20,0,-26.66920824989015,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.998001}",20,0,-69.23011043477223,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.997002999}",25,0,1.9419338993006752,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.996005996001}",20,0,-109.2952062708715,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.995009990004999}",25,0,-224.370450004195,"{0: 12, 1: 1, 2: 7, 3: 2, 4: 3}",0
6,False,"{'a': 0.8, 'e': 0.994014980014994}",20,11,-4.372799069429224,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.8, 'e': 0.993020965034979}",25,0,-153.6343284629455,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.8, 'e': 0.992027944069944}",25,3,-152.05378584249482,"{0: 10, 1: 1, 2: 8, 3: 2, 4: 1}",1
9,False,"{'a': 0.8, 'e': 0.991035916125874}",20,0,-159.69846513848387,"{0: 9, 1: 6, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.8, 'e': 0.9900448802097482}",20,0,-185.83483501647387,"{0: 7, 1: 4, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.8, 'e': 0.9890548353295384}",20,0,-160.20225788070718,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.9880657804942089}",20,0,-103.48598362371561,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.9870777147137147}",20,10,-50.41631347644195,"{0: 4, 1: 3, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.8, 'e': 0.986090636999001}",20,0,-182.5673557971686,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.8, 'e': 0.985104546362002}",25,0,-204.7463800898608,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
