trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9588496310845509}",20,0,-93.81066952015948,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9578907814534663}",20,0,-87.45431070733773,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9569328906720129}",20,0,-116.1662382248162,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9559759577813408}",20,0,-18.951758945020934,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.9550199818235595}",20,0,-74.04156161075923,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.954064961841736}",25,0,-37.99018136395214,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.9531108968798943}",30,0,-175.86495128710146,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.9521577859830144}",25,0,-128.24257426156566,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.9512056281970314}",20,0,-75.58898983217888,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.9502544225688343}",25,0,-51.03208471400968,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.9493041681462654}",30,5,-131.27729263114404,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",1
53,False,"{'a': 0.01, 'e': 0.9483548639781192}",20,0,-115.75514469212636,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.947406509114141}",20,0,-102.55501467209743,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.9464591026050269}",30,0,-152.7272188508471,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
56,False,"{'a': 0.01, 'e': 0.9455126435024219}",25,0,-145.01195637153336,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
57,False,"{'a': 0.01, 'e': 0.9445671308589194}",25,0,-105.35607101417189,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.9436225637280605}",20,3,-141.38758592100595,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 3}",1
59,False,"{'a': 0.01, 'e': 0.9426789411643325}",25,0,-41.90729177964312,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.9417362622231682}",20,0,-87.59372001585903,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.9407945259609449}",25,0,-93.23249824045155,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.9398537314349841}",25,12,-14.885229175404117,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.9389138777035491}",20,0,-155.05171079453683,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
64,False,"{'a': 0.01, 'e': 0.9379749638258454}",20,0,-64.27117631714529,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.9370369888620197}",20,0,-147.77174164952183,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
66,False,"{'a': 0.01, 'e': 0.9360999518731576}",20,0,-163.09949816551446,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.9351638519212845}",20,0,-163.11471108889526,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
68,False,"{'a': 0.01, 'e': 0.9342286880693632}",30,0,-344.4101356835254,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 6}",0
